,date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
1257,2018-04-02,41.97,42.235,41.1175,41.67,39.724888,150144764,37536191,-0.3,-0.7148,41.59,"April 02, 18",-0.007148
1256,2018-04-03,41.91,42.1864,41.22,42.0975,40.132427,121112184,30278046,0.1875,0.44739,41.73,"April 03, 18",0.0044739
1255,2018-04-04,41.22,43.0025,41.1925,42.9025,40.899849,138421956,34605489,1.6825,4.08,42.31,"April 04, 18",0.0408
1254,2018-04-05,43.145,43.5576,43.02,43.2,41.183475,107576788,26894197,0.055,0.12748,43.31,"April 05, 18",0.0012748
1253,2018-04-06,42.7425,43.12,42.05,42.095,40.130054,140021160,35005290,-0.6475,-1.51,42.46,"April 06, 18",-0.0151
1252,2018-04-09,42.47,43.2725,42.4613,42.5125,40.528069,116070872,29017718,0.0425,0.10007,42.87,"April 09, 18",0.0010007
1251,2018-04-10,43.25,43.5,42.8825,43.3125,41.290722,114456964,28614241,0.0625,0.14451,43.26,"April 10, 18",0.0014451
1250,2018-04-11,43.0575,43.4808,42.925,43.11,41.097664,89726560,22431640,0.0525,0.12193,43.18,"April 11, 18",0.0012193
1249,2018-04-12,43.3525,43.75,43.26,43.535,41.502831,91557140,22889285,0.1825,0.42097,43.59,"April 12, 18",0.0042097
1248,2018-04-13,43.695,43.96,43.4625,43.6825,41.643444,100497020,25124255,-0.0125,-0.02860739,43.72,"April 13, 18",-0.0002860739
1247,2018-04-16,43.7575,44.0475,43.7075,43.955,41.903233,86313680,21578420,0.1975,0.45135,43.91,"April 16, 18",0.0045135
1246,2018-04-17,44.1225,44.7341,44.1025,44.56,42.479988,106421768,26605442,0.4375,0.99156,44.47,"April 17, 18",0.0099156
1245,2018-04-18,44.4525,44.705,44.22,44.46,42.384651,83018152,20754538,0.0075,0.01687194,44.49,"April 18, 18",0.0001687194
1244,2018-04-19,43.7375,43.8475,43.165,43.2,41.183475,139235200,34808800,-0.5375,-1.23,43.41,"April 19, 18",-0.0123
1243,2018-04-20,42.6488,42.8046,41.3575,41.43,39.496098,261964560,65491140,-1.2188,-2.86,41.77,"April 20, 18",-0.0286
1242,2018-04-23,41.7087,41.73,41.0225,41.31,39.381695,146051908,36512977,-0.3987,-0.95592,41.4,"April 23, 18",-0.0095592
1241,2018-04-24,41.4175,41.5825,40.305,40.735,38.833542,134768068,33692017,-0.6825,-1.65,40.91,"April 24, 18",-0.0165
1240,2018-04-25,40.655,41.355,40.6025,40.9125,39.002747,113528336,28382084,0.2575,0.63338,41.05,"April 25, 18",0.0063338
1239,2018-04-26,41.03,41.4325,40.8425,41.055,39.138592,111852056,27963014,0.025,0.06093103,41.11,"April 26, 18",0.0006093103
1238,2018-04-27,41.0,41.0825,40.1575,40.58,38.685772,142623356,35655839,-0.42,-1.02,40.57,"April 27, 18",-0.0102
1237,2018-04-30,40.5326,41.815,40.46,41.315,39.386459,169709696,42427424,0.7824,1.93,41.38,"April 30, 18",0.0193
1236,2018-05-01,41.6026,42.3,41.3175,42.275,40.301647,214277504,53569376,0.6724,1.62,42.28,"May 01, 18",0.0162
1235,2018-05-02,43.8063,44.4375,43.45,44.1425,42.081974,266157484,66539371,0.3362,0.76747,44.03,"May 02, 18",0.0076747
1234,2018-05-03,43.97,44.375,43.6103,44.2225,42.158241,136272720,34068180,0.2525,0.57426,44.03,"May 03, 18",0.0057426
1233,2018-05-04,44.5625,46.0625,44.5425,45.9575,43.81226,224805268,56201317,1.395,3.13,45.64,"May 04, 18",0.0313
1232,2018-05-07,46.295,46.9175,46.1875,46.29,44.129242,169805692,42451423,-0.005,-0.0108003,46.55,"May 07, 18",-0.000108003
1231,2018-05-08,46.2475,46.555,45.9163,46.5125,44.341347,113611108,28402777,0.265,0.573,46.32,"May 08, 18",0.00573
1230,2018-05-09,46.6375,46.85,46.305,46.84,44.653561,92844964,23211241,0.2025,0.4342,46.61,"May 09, 18",0.004342
1229,2018-05-10,46.935,47.5925,46.9125,47.51,45.29229,111957156,27989289,0.575,1.23,47.34,"May 10, 18",0.0123
1228,2018-05-11,47.3725,47.515,46.8625,47.1475,45.120029,104448884,26112221,-0.225,-0.47496,47.19,"May 11, 18",-0.0047496
1227,2018-05-14,47.2525,47.3825,46.965,47.0375,45.014744,82923888,20730972,-0.215,-0.455,47.16,"May 14, 18",-0.00455
1226,2018-05-15,46.695,46.7675,46.275,46.61,44.605644,94780636,23695159,-0.085,-0.18203,46.53,"May 15, 18",-0.0018203
1225,2018-05-16,46.5175,47.115,46.5,47.045,45.021923,76732256,19183064,0.5275,1.13,46.92,"May 16, 18",0.0113
1224,2018-05-17,47.0,47.2275,46.59,46.7475,44.737228,69176116,17294029,-0.2525,-0.53723,46.9,"May 17, 18",-0.0053723
1223,2018-05-18,46.7975,46.9526,46.5325,46.5775,44.574539,73004512,18251128,-0.22,-0.47011,46.73,"May 18, 18",-0.0047011
1222,2018-05-21,47.0,47.3175,46.7276,46.9075,44.890339,73603148,18400787,-0.0925,-0.19681,47.02,"May 21, 18",-0.0019681
1221,2018-05-22,47.0938,47.22,46.695,46.79,44.777901,60962816,15240704,-0.3038,-0.6451,46.89,"May 22, 18",-0.006451
1220,2018-05-23,46.5875,47.125,46.44,47.09,45.064995,80233660,20058415,0.5025,1.08,46.79,"May 23, 18",0.0108
1219,2018-05-24,47.1925,47.21,46.5525,47.0375,45.014744,92935900,23233975,-0.155,-0.32844,46.97,"May 24, 18",-0.0032844
1218,2018-05-25,47.0575,47.4125,46.9125,47.145,45.117634,69843852,17460963,0.0875,0.18594,47.22,"May 25, 18",0.0018594
1217,2018-05-29,46.9,47.1875,46.7175,46.975,44.954941,90056300,22514075,0.075,0.15991,46.92,"May 29, 18",0.0015991
1216,2018-05-30,46.93,47.0,46.695,46.875,44.859238,74762188,18690547,-0.055,-0.1172,46.83,"May 30, 18",-0.001172
1215,2018-05-31,46.805,47.0575,46.535,46.7175,44.708519,109931172,27482793,-0.0875,-0.18695,46.78,"May 31, 18",-0.0018695
1214,2018-06-01,46.9978,47.565,46.9375,47.56,45.51479,93770040,23442510,0.5622,1.2,47.38,"June 01, 18",0.012
1213,2018-06-04,47.9088,48.355,47.8375,47.9575,45.895203,105064696,26266174,0.0487,0.10165,48.06,"June 04, 18",0.0010165
1212,2018-06-05,48.2663,48.485,48.09,48.3275,46.249279,86263852,21565963,0.0612,0.1268,48.3,"June 05, 18",0.001268
1211,2018-06-06,48.4075,48.52,47.98,48.495,46.409576,82134476,20533619,0.0875,0.18076,48.32,"June 06, 18",0.0018076
1210,2018-06-07,48.535,48.55,48.0838,48.365,46.285175,85315120,21328780,-0.17,-0.35026,48.33,"June 07, 18",-0.0035026
1209,2018-06-08,47.7925,48.0,47.4425,47.925,45.86409,106627196,26656799,0.1325,0.27724,47.74,"June 08, 18",0.0027724
1208,2018-06-11,47.8375,47.9925,47.5525,47.8075,45.751637,73233840,18308460,-0.03,-0.06271231,47.8,"June 11, 18",-0.0006271231
1207,2018-06-12,47.8463,48.1528,47.7875,48.07,46.002846,67644564,16911141,0.2237,0.46754,47.95,"June 12, 18",0.0046754
