date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2023-09-19,177.52,179.63,177.13,179.07,179.07,50522923,50447573,1.55,0.87314,178.41,"September 19, 23",0.0087314
2023-09-18,176.48,179.38,176.17,177.97,177.97,67257573,67257600,1.49,0.84429,177.89,"September 18, 23",0.0084429
2023-09-15,176.48,176.495,173.82,175.01,175.01,109259461,109205100,-1.47,-0.83296,175.08,"September 15, 23",-0.0083296
2023-09-14,174.0,176.1,173.58,175.74,175.74,60345757,60895800,1.74,1.0,175.37,"September 14, 23",0.01
2023-09-13,176.51,177.3,173.98,174.21,174.21,84267928,84267900,-2.3,-1.3,175.04,"September 13, 23",-0.013
2023-09-12,179.49,180.13,174.82,176.3,176.3,90316192,90370200,-3.19,-1.78,176.7,"September 12, 23",-0.0178
2023-09-11,180.07,180.3,177.34,179.36,179.36,58953052,58953100,-0.71,-0.39429,178.85,"September 11, 23",-0.0039429
2023-09-08,178.35,180.239,177.79,178.18,178.18,65402066,65551300,-0.17,-0.09531819,179.07,"September 08, 23",-0.0009531819
2023-09-07,175.18,178.21,173.54,177.56,177.56,112416703,112488800,2.38,1.36,176.73,"September 07, 23",0.0136
2023-09-06,188.4,188.85,181.47,182.91,182.91,81755800,81755800,-5.49,-2.91,184.41,"September 06, 23",-0.0291
2023-09-05,188.28,189.98,187.61,189.7,189.7,45280000,45280000,1.42,0.7542,189.1,"September 05, 23",0.007542
2023-09-01,189.49,189.92,188.28,189.46,189.46,45732600,45732600,-0.03,-0.01583197,189.22,"September 01, 23",-0.0001583197
2023-08-31,187.84,189.12,187.48,187.87,187.87,60794500,60794500,0.03,0.01597104,188.16,"August 31, 23",0.0001597104
2023-08-30,184.94,187.85,184.74,187.65,187.65,60813900,60813900,2.71,1.47,186.75,"August 30, 23",0.0147
2023-08-29,179.7,184.9,179.5,184.12,184.12,53003900,53003900,4.42,2.46,182.84,"August 29, 23",0.0246
2023-08-28,180.09,180.59,178.55,180.19,180.19,43820700,43820700,0.1,0.05552779,179.78,"August 28, 23",0.0005552779
2023-08-25,177.38,179.15,175.82,178.61,178.61,51449600,51449600,1.23,0.69343,177.86,"August 25, 23",0.0069343
2023-08-24,180.67,181.1,176.01,176.38,176.38,54945800,54945800,-4.29,-2.37,177.83,"August 24, 23",-0.0237
2023-08-23,178.52,181.55,178.33,181.12,181.12,52722800,52722800,2.6,1.46,180.33,"August 23, 23",0.0146
2023-08-22,177.06,177.68,176.25,177.23,177.23,42084200,42084200,0.17,0.09601265,177.05,"August 22, 23",0.0009601265
